"Genus","morphotype"
"Trifolium","A"
"Lupinus","A"
"Glyccrrhiza","A"
"Mitella","A"
"Geum","A"
"Lupinus","B"
"Lathyrus","B"
"Potentilla","B"
"Androsace","B"
"Bistorta","B"
"Vicia","B"
"Dasiphora","B"
"Jeffersonia","C"
"Micranthes","C"
"Prunus","C"
"Delphinium","C"
"Androsace","C"
"Penstemon","C"
"Orthocarpus","C"
"Scuttelaria","C"
"Aquilegia","C"
"Castilleja","C"
"Draba","C"
"Hydrophyllum","C"
"Lithophragma","C"
"Salix","D"
"Boechera","D"
"Mertensia","Mertensia"
"Ribes","Ribes"
"Pedicularis","Pedicularis"
"Ericaceae","Ericaceae"
"Epilobium","Epilobium"
"Eremogone","Eremogone"
"Geranium","Geranium"
"Erigeron","Asteraceae_1"
"Senecio","Asteraceae_1"
"Symphyotrichum","Asteraceae_1"
"Wyethia","Asteraceae_1"
"Helianthella","Asteraceae_1"
"Taraxacum","Asteraceae_2"
